genero;pais;origen_capital;puesto;funcion;anios_empresa;sueldo_bruto;sueldo_dolar;satisfaccion;busqueda;anio
Femenino;Argentina;Nacional;Responsable;Generalista;4;98948;1179.4969603051616;NA;NA;2020
Masculino;Argentina;Multinacional;HRBP;Generalista;5;90000;1072.833472404339;5;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Jefe;Diseño organizacional;13;178000;2121.8262009774703;NA;NA;2020
Masculino;Argentina;Multinacional;Analista;Capacitación y desarrollo;12;75000;894.0278936702825;NA;NA;2020
Femenino;Argentina;Nacional;Analista;Payroll / Liquidación de sueldos;3;46900;559.0654428418167;2;Sí, activamente;2020
Femenino;Argentina;Nacional;Analista;Generalista;5;65000;774.8241745142449;4;No estoy buscando cambiar;2020
Masculino;Argentina;Nacional;Jefe;Generalista;12;85000;1013.2316128263202;3;Sí, activamente;2020
Masculino;Argentina;Multinacional;Analista;Administración de personal;12;78000;929.7890094170938;5;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Responsable;Reclutamiento y selección;7;120000;1430.444629872452;5;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Analista;Generalista;9;79000;941.7093813326976;NA;NA;2020
Masculino;Argentina;Nacional;Responsable;Administración de personal;2;48000;572.1778519489808;3;No estoy buscando cambiar;2020
Femenino;Argentina;Multinacional;Responsable;Generalista;11;81000;965.5501251639051;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Payroll / Liquidación de sueldos;6;60000;715.222314936226;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Payroll / Liquidación de sueldos;7;50000;596.0185957801883;NA;NA;2020
Femenino;Argentina;Nacional;Responsable;Reclutamiento y selección;5;70000;834.4260340922636;4;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Analista;Reclutamiento y selección;9;85000;1013.2316128263202;NA;NA;2020
Femenino;Argentina;Multinacional;Analista;Payroll / Liquidación de sueldos;4;67000;798.6649183454524;1;Sí, activamente;2020
Femenino;Argentina;Multinacional;HRBP;Onboarding, clima, cultura, liderazgo;8;130000;1549.6483490284897;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Administrativo;Generalista;6;66700;795.0888067707713;4;No estoy buscando cambiar;2020
Femenino;Argentina;Multinacional;Responsable;Generalista;4;73000;870.187149839075;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Reclutamiento y selección;2;34086;406.31779711526997;4;No estoy buscando cambiar;2020
Masculino;Argentina;Nacional;Analista;Payroll / Liquidación de sueldos;5;70000;834.4260340922636;NA;NA;2020
Femenino;Argentina;Nacional;Analista;Comunicación interna;5;65000;774.8241745142449;3;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Jefe;Generalista;7;82500;983.4306830373108;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Reclutamiento y selección;12;130000;1549.6483490284897;3;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Jefe;Generalista;8;185000;2205.268804386697;4;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Responsable;Payroll / Liquidación de sueldos;10;102000;1215.8779353915843;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Generalista;5;64000;762.903802598641;NA;NA;2020
Femenino;Argentina;Nacional;Analista;Generalista;5;56000;667.5408272738109;2;Sí, activamente;2020
Femenino;Argentina;Nacional;Analista;Compensaciones y beneficios;3;51500;613.899153653594;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Multinacional;Analista;Legal;8;76000;905.9482655858862;1;Sí, activamente;2020
Femenino;Argentina;Nacional;Analista;Reclutamiento y selección;3;62000;739.0630587674335;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Gerente;Generalista;10;148000;1764.2150435093574;4;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Responsable;No me desempeño en el área de RRHH. Trabajo en el área de Sistemas.;0;54000;965.5501251639051;NA;NA;2020
Femenino;Argentina;Multinacional;Jefe;Generalista;15;61697;735.4511860770056;3;Sí, activamente;2020
Femenino;Argentina;Nacional;Responsable;Reclutamiento y selección;2;40000;476.81487662415066;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Diseño organizacional;2;40000;715.222314936226;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Administración de personal;2;85000;1013.2316128263202;NA;NA;2020
Femenino;Argentina;Nacional;Responsable;Comunicación interna;7;40000;476.81487662415066;4;Sí, activamente;2020
Masculino;Argentina;Nacional;Analista;Administración de personal;4;58000;691.3815711050185;NA;NA;2020
Femenino;Argentina;Nacional;Analista;Reclutamiento y selección;8;93000;1108.5945881511502;2;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Administración de personal;14;118000;1406.6038860412446;2;Sí, activamente;2020
Masculino;Argentina;Multinacional;Analista;Administración de personal;12;79000;941.7093813326976;NA;NA;2020
Femenino;Argentina;Nacional;Responsable;Generalista;13;50000;596.0185957801883;NA;NA;2020
Femenino;Argentina;Nacional;Responsable;Generalista;9;70000;834.4260340922636;2;Sí, activamente;2020
Masculino;Argentina;Multinacional;HRBP;Relaciones laborales;10;110000;1311.2409107164144;4;No,  pero escucho ofertas;2020
